1h,24h,7d,Liquidity Ratio,Volatility,price
0.304,0.19747899159663865,0.15709362435381966,1.0001970396702596e-08,6.289599811082023e-13,0.021895790224
0.448,0.22969187675070027,0.14187248707639288,0.006180297476828377,6.249706074270505e-13,5.43
0.504,0.20728291316526595,0.17547386559448594,0.0017666645507805675,6.291161202675314e-13,0.162482
0.608,0.38095238095238093,0.19414129810453762,0.031371084069430386,6.298464469948007e-13,137.44
0.472,0.28851540616246496,0.17863296955772545,0.03178675880327421,6.306272127963631e-13,148.94
0.5439999999999992,0.2969187675070028,0.19414129810453762,0.010838224655724668,6.293572296070434e-13,1982.58
0.45599999999999996,0.33193277310924374,0.14847788627225733,0.0013604857303065466,6.290959785214729e-13,38.35
0.52,0.26330532212885155,0.16771970132107986,0.06657251356118196,6.34038736250648e-13,0.227781
0.3679999999999992,0.22829131652661064,0.1579551981619759,0.010844148769989523,6.318038275005719e-13,1.812224e-06
0.288,0.3011204481792717,0.15766800689259047,0.006397257125329707,6.296954568272729e-13,32.52
0.52,0.25210084033613445,0.17662263067202758,2.4006015981815182e-05,6.289615797052388e-13,41217.27
0.52,0.211484593837535,0.13756461803561174,0.014072777750677324,6.252696290362974e-13,5.57
0.45599999999999996,0.20168067226890757,0.16082711085582999,0.0032611886753333534,6.297649704330907e-13,112.58
0.512,0.22128851540616246,0.15364732912119472,0.010365470950997142,6.318595149634862e-13,0.127445
0.46399999999999997,0.19047619047619047,0.1984491671453188,0.0051739143629251924,6.29234860769578e-13,7.9294818e-05
0.416,0.2184873949579832,0.15163699023549684,0.01914878556223959,6.468145182447719e-13,77.11
0.504,0.2366946778711483,0.15221137277426766,0.021804479668004553,6.341879438468336e-13,20.13
0.312,0.19887955182072828,0.15738081562320508,0.01691878244821204,6.999483915984134e-13,1.0
0.392,0.21008403361344538,0.1499138426191844,0.004772595453197211,6.222850661046232e-13,8.98
0.4239999999999992,0.21008403361344538,0.16283744974152786,0.0012765309522030273,6.292091862613832e-13,18.41
0.384,0.242296918767507,0.1852383687535899,0.0006037078433941458,6.2899651187846e-13,3.18
0.45599999999999996,0.2338935574229692,0.2096496266513498,0.006967994132209035,6.292176554850202e-13,1.26
0.512,0.3179271708683473,0.0,0.0002928334023547336,6.289544288989916e-13,0.044270474958
0.45599999999999996,0.26750700280112044,0.17030442274554855,0.021287843431386733,6.305270854190862e-13,1.4
0.48,0.27450980392156865,0.22917863296955773,0.054924507579958426,6.3036956882947e-13,0.822605
0.432,0.24089635854341737,0.1852383687535899,0.0007756788008255406,6.290052680412944e-13,2.19
0.45599999999999996,0.20728291316526595,0.1579551981619759,0.0013952620244912272,6.293782280104183e-13,0.025036137658
0.432,0.28711484593837533,0.15680643308443423,3.72937757948539e-05,6.28964077306065e-13,0.121859
0.512,0.2535014005602241,0.16800689259046525,0.012038052428076236,6.299408342751268e-13,126.84
0.488,0.24929971988795518,0.13526708788052844,0.008979309552479268,6.245276354013193e-13,2.52
0.504,0.21008403361344538,0.16599655370476737,0.01143135348617288,6.304589403607206e-13,6.23
0.52,0.23109243697478993,0.16283744974152786,0.021572612737541887,6.315462080410036e-13,0.198241
0.44,0.20448179271708683,0.16570936243538198,0.04904178553450097,6.370295148704631e-13,97.64
0.36,0.18207282913165265,0.1588167719701321,0.0009698719248478105,6.370988995148354e-13,17.92
0.296,0.19887955182072828,0.15680643308443423,0.011988263620291345,5.786593548492878e-13,0.999025
0.512,0.22408963585434172,0.16743251005169443,0.011365360953741438,6.301522429614775e-13,1.12
0.40800000000000003,0.24089635854341737,0.1556576680068926,0.0016250851584022755,6.293189376862268e-13,6.52
0.616,0.273109243697479,0.199310740953475,0.009561022865706915,6.292957673159901e-13,18.29
0.736,0.3081232492997199,0.18121769098219415,0.014499112543227326,6.295233595244881e-13,4.24
0.096,0.12885154061624648,0.3770821367030442,0.00033897173631167177,6.289641875561448e-13,30.86
0.552,0.24649859943977592,0.1476163124641011,0.026338571053902898,6.358670746353416e-13,0.710702
0.48,0.25770308123249297,0.16771970132107986,0.004908258505154696,6.293678712957041e-13,0.098240605826
0.792,0.3207282913165266,0.10539919586444574,0.027548933349746348,6.217356508328972e-13,3.1
0.6,0.29551820728291317,0.16484778862722574,0.017149467396053976,6.300421137821877e-13,0.227889
0.52,0.22829131652661064,0.1553704767375072,0.039468017338955975,6.368458303551271e-13,2.02
0.472,0.3977591036414566,0.18236645605973578,0.00657974855794814,6.291800451459018e-13,56.87
0.312,0.19747899159663865,0.15709362435381966,2.164344611970059e-06,6.294708901648639e-13,0.021768404499
0.448,0.20868347338935572,0.16484778862722574,0.005383348923453017,6.298288194351692e-13,4.61
0.6,0.2226890756302521,0.1639862148190695,0.00032908303474798024,6.289954695620003e-13,129.46
0.432,0.3445378151260504,0.15594485927627802,0.019252691517025272,6.30352841094537e-13,1.81
0.528,0.23529411764705882,0.16513497989661113,0.017806308232356086,6.307823146371123e-13,0.00414796568
0.52,0.26050420168067223,0.172027570361861,0.011613619919089976,6.297524027502263e-13,109.58
0.648,0.20728291316526595,0.19069500287191268,0.026464430186197475,6.302978992216258e-13,0.076638517501
0.344,0.19747899159663865,0.1473291211947157,0.0006493886089952624,6.287784167823429e-13,7.89
0.336,0.19607843137254902,0.1591039632395175,0.004607313257632268,6.332559541296787e-13,1.0
0.448,0.22128851540616246,0.15307294658242393,0.024971556206908354,6.394377042690955e-13,18982.86
0.52,0.24649859943977592,0.17576105686387133,6.23474896463983e-07,6.289601065650473e-13,92.51
0.296,0.16666666666666666,0.18495117748420448,0.003333905238819159,6.29343311560846e-13,0.050635431946
0.48,0.3529411764705882,0.2039058012636416,0.040449640937816514,6.301107077318159e-13,1.5
0.48,0.22549019607843138,0.15709362435381966,0.009025527401273162,6.308073613415038e-13,0.274089
0.46399999999999997,0.2226890756302521,0.13526708788052844,0.03344679293942804,6.217632937281004e-13,0.016547553043
0.5439999999999992,0.22969187675070027,0.16743251005169443,0.026677579852694002,6.315040326918749e-13,5.95
0.3679999999999992,0.20448179271708683,0.14072372199885125,0.010400996944366078,6.270204734927274e-13,1935.78
0.6,0.29411764705882354,0.1806433084434233,0.04534321063224866,6.309948498642975e-13,3.12
0.44,0.2450980392156863,0.17087880528431937,0.005091710198143104,6.293960639774887e-13,40555.22
0.552,0.22969187675070027,0.1639862148190695,0.003961382929126177,6.293917867911487e-13,23.82
0.496,0.21988795518207283,0.13871338311315337,0.01436461397225915,6.241383473525962e-13,0.072181812557
0.448,0.24369747899159663,0.17489948305571512,0.00925962953815953,6.296538476628695e-13,2.29
0.46399999999999997,0.19327731092436973,0.14129810453762207,0.00034738649002520746,6.288853176318957e-13,0.699085
0.512,0.2170868347338934,0.1694428489373923,0.006677145073889204,6.296433860730156e-13,88.63
0.46399999999999997,0.21988795518207283,0.18035611717403793,0.038401881574718355,6.317381296567691e-13,4.11
0.5760000000000001,0.242296918767507,0.17059161401493395,0.013749332501741172,6.299902410227964e-13,0.041008132304
0.616,0.149859943977591,0.13182079264790353,0.00014867370975741508,6.289452124332851e-13,0.001028389235
0.504,0.24649859943977592,0.14819069500287194,0.008760213771918896,6.315855195698938e-13,2.43
